Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-71,,weiblich,56-65,städtisch,Vollzeit,3-4,40,keine Social Media Nutzung
Participant-73,,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-75,"Zustellung, wie man es seit Jahren kennt. Vorstellung mi Drohnen und Robotern irgendwie noch komisch. Technik ggf noch nicht so ausgereift. Paketstation wird gerne genutzt.",männlich,46-55,städtisch,Vollzeit,3-4,89,Facebook;Twitter;Instagram
Participant-110,,weiblich,46-55,städtisch,Teilzeit,1-2,44,Twitter
Participant-121,Co2 einsparen.pakete erst mal sammeln,weiblich,36-45,städtisch,Vollzeit,3-4,45,Facebook;Instagram;andere Social Media
Participant-133,,weiblich,17-25,städtisch,Vollzeit,3-4,45326 ,Instagram
Participant-147,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-150,,männlich,17-25,städtisch,Teilzeit,3-4,45,Twitter;Instagram
Participant-151,,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-171,,weiblich,66+,städtisch,Teilzeit,1-2,44,andere Social Media
Participant-189,,männlich,36-45,städtisch,Vollzeit,3-4,45,Instagram;andere Social Media
Participant-199,,männlich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Instagram
Participant-202,,weiblich,36-45,städtisch,Teilzeit,3-4,44,Facebook;Instagram
Participant-211,,männlich,36-45,städtisch,Vollzeit,3-4,45145,Facebook
Participant-232,Wahrscheinlich langfristig praktikableste Lösung. Dro,männlich,26-35,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-235,"Der Lieferer liefert einmal am Tag alles aus, so weiß ich wann er kommt und kann meine Pakete annehmen. Da ich meistens arbeite wenn Pakete kommen, wäre das super für mich.",weiblich,26-35,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-249,Damit kann man planen,weiblich,46-55,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-283,spricht mich mehr an,weiblich,66+,städtisch,Teilzeit,1-2,44,Facebook
Participant-313,selbstverständlich wegen dem klima,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram;andere Social Media
Participant-337,,männlich,56-65,ländlich,Vollzeit,1-2,41,Facebook;Instagram;Linkedin
Participant-358,,männlich,17-25,städtisch,Teilzeit,4+,45,Instagram
