Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-261,"Ein Zusteller, weil der mich kennt.",männlich,66+,städtisch,,1-2,45,Instagram
Participant-273,"WEIl eine scheinbar starke Verkehrs- und Umweltentlastung möglich ist und Pakete dennoch und vor allem nur EIN mal an die Haustür kommen
",männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-290,,männlich,46-55,ländlich,Vollzeit,3-4,64,Linkedin
Participant-292,Einfachste Umsetzung,männlich,46-55,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-302,Weil es praktisch und durchführbar ist.,weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-311,,männlich,36-45,städtisch,Vollzeit,3-4,40,Facebook;Instagram;Linkedin
Participant-312,Zum Schutz der Umwelt ,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram
Participant-314,Ich muss nicht ständig zur Tür laufen und versuchen Termine zu koordinieren.,weiblich,46-55,städtisch,Vollzeit,1-2,45,Twitter;Instagram;Linkedin
Participant-321,,männlich,56-65,ländlich,Vollzeit,1-2,44,andere Social Media
Participant-346,,männlich,66+,ländlich,Vollzeit,1-2,59,
Participant-359,Finde ich gut,weiblich,56-65,städtisch,Teilzeit,1-2,65,keine Social Media Nutzung
