Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-1,Es hat die meisten Vorteile,männlich,66+,städtisch,Teilzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin
Participant-2,,männlich,56-65,städtisch,,1-2,12,Facebook;Instagram
Participant-3,Für mich persönlich die optimale Lösung,männlich,46-55,städtisch,Vollzeit,1-2,44,Facebook
Participant-5,"Weil oft viele Pakete verteilt über den Tag ankommen, das kann besser geregelt werden und somit die Fahrer und den Verkehr entlasten. Ich wäre auch  bereit das mit den längeren Wartezeiten zu kombinieren und somit mehr die Umwelt zu entlasten. ",weiblich,26-35,städtisch,Vollzeit,3-4,45,Facebook
Participant-6,,männlich,26-35,städtisch,Vollzeit,1-2,04,Instagram
Participant-8,,männlich,46-55,städtisch,Vollzeit,3-4,45,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-10,,weiblich,26-35,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-14,,männlich,36-45,städtisch,Vollzeit,3-4,14,Facebook
Participant-28,"Durch E-Autos umweltfreundlich, daz alles aus einer Hand da nur ein Zulieferer.",männlich,46-55,städtisch,Vollzeit,1-2,46,Facebook
Participant-29,So wird CO2 eingespart und ich habe wenige Einbußen. ,weiblich,36-45,städtisch,Vollzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-30,Erscheint mir am sinnvollsten ,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-31,"Nutze schon jetzt die Packstation. Die Lieferdienste müssen weniger fahren,  sparen somit Emissionen und verringern Stau. Ebenfalls muss ich nicht zuhause sein, wenn die Lieferung kommt. Nach Corona und dem voraussichtlichen massiven Rückgang von Homeoffice-Tagen wird das wieder sehr relevant. ",männlich,26-35,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-32,Da kann ich mich besser drauf einstellen ,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-37," Die  Emmissionen werden erheblich gesenkt  und der finanzielle Aufwand wäre für mich der Preis, den ich am liebsten dafür zahlen würde. Die Nachteile der anderen Alternativen würden von mir als schwerwiegender empfunden. ",weiblich,56-65,städtisch,,1-2,44,keine Social Media Nutzung
Participant-40,,männlich,36-45,ländlich,Vollzeit,1-2,65,Twitter;Linkedin;andere Social Media
Participant-45,Sicherste Auswahl ,weiblich,26-35,städtisch,Teilzeit,3-4,45,Instagram;andere Social Media
Participant-46,"Packstation hat die höchste Flexibilität. Ich kann mehrere Pakete sammeln und jederzeit abholen, auch an Feiertagen oder nachts.",männlich,26-35,städtisch,Vollzeit,1-2,19,Facebook;Instagram
Participant-48,"Es liefert den größten Effekt, ist einfach umzusetzen, ich gewinne zusätzlichen Komfort (1 Lieferung) und die Kosten sind gering",weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-49,,männlich,17-25,städtisch,Vollzeit,1-2,45,Facebook;Instagram;andere Social Media
