Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-15,,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook
Participant-17,Zustellereinsatz,weiblich,66+,städtisch,,1-2,45,Instagram;andere Social Media
Participant-18,,männlich,66+,städtisch,Teilzeit,1-2,44 ,andere Social Media
Participant-23,Warten können heist planen müssen. Wer langfristig plant und denkt kann viel durch sein Verhalten für den Umweltschutz tuen. Spontanität geht oft auf Kosten der Umwelt   ,männlich,56-65,städtisch,Teilzeit,3-4,40,keine Social Media Nutzung
Participant-33,"Weil es bei diversen Online Versandunternehmen häufig so ist, dass nicht die komplette Bestellung ausgeliefert wird..",männlich,46-55,ländlich,Vollzeit,1-2,51,Facebook;Instagram
Participant-38,"Insgesamt bringt es, glaube ich am meisten für die Umwelt.",weiblich,56-65,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-53,Weil es keine Arbeitsplätze gefährdet,weiblich,36-45,ländlich,Vollzeit,1-2,45665,andere Social Media
Participant-55,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Instagram
Participant-57,"Möglichkeit CO2 einzusparen, ohne große Änderungen am bestehenden System vorzunehmen. Durch längere Wartezeiten auf Pakete zur privaten Adresse würden Angebote wie Poststationen, Lieferungen an Fillialen in der Nähe, Einkauf in Geschäften vor Ort wieder attraktiver werden. Die Förderung lokaler Akteure spart nachhaltig weiteres CO2 sein.",weiblich,26-35,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-65,"Warten ist okay, wenn man sich drauf einstellen kann. Roboter und Drohnen erachte ich als schwierig. Abschuss von Drohnen oder Manipulation von Robotern bzw wie bei uns muss der Postbote klingeln, damit er überhaupt rein kommt für Pakete. Tor verschlossen und direkt an Straße wohnend. ",weiblich,26-35,ländlich,Teilzeit,3-4,53894,Facebook
Participant-78,"Passt am Besten in meine Lebensumstände (Kinder mit Behinderung, selber krank)",weiblich,46-55,städtisch,,4+,40,Facebook;Instagram
Participant-86,"Für Menschen am besten, wenn keine Roboter ihre Arbeit übernehmen, ausser es gibt das bedingungslose Grundeinkommen. Mit dem Anderen, dass kann ich mir gut vorstellen, es muss nicht immer alles sofort verfügbar sein.",weiblich,36-45,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-91,"Es ist nur in wenigen Ausnahmen wichtig, das Paket innerhalb kürzester Zeit zu erhalten. Und es ist vollkommen unnötig, 5x am Tag beliefert zu werden. Sofern sichergestellt ist, dass Kühlware nicht verdirbt, wäre das Optimal. 
Packstationen wären gut, wenn sie ein größeres Packvolumen hätten und so verteilt sind, dass man auch mit dem Fahrrad hin kann. Ein Zusteller wäre für die Lieferung gut, sofern dann auch der Arbeitsschutz bedacht wird. Autonome Zulieferer halte ich spontan für langfristig sicherer und weniger fehleranfällig, ist aber vermutlich kurzfristig weniger schnell umsetzbar als die angeführten Alternativen. Drohnen wären prinzipiell zwar eine Option, sind aber aufgrund der Gewichtsbeschränkung nur eingeschränkt sinnvoll und würde ich persönlich auch als optisch/akustisch ziemlich unangenehm empfinden, besonders in Vierteln in denen sehr viel hin geliefert wird. ",weiblich,26-35,städtisch,Vollzeit,3-4,45,Facebook;andere Social Media
Participant-98,,männlich,66+,ländlich,,1-2,96,keine Social Media Nutzung
Participant-103,"am umweltschonensten und trotzdem praktisch, abholung Packstation ist für mich nicht möglich :-(",weiblich,56-65,städtisch,Teilzeit,1-2,40,keine Social Media Nutzung
Participant-106,,weiblich,46-55,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-107,Die längeren Wartezeiten sind das kleinste übel. Alle anderen Möglichkeiten ziehen andere negative Aspekte hinter sich.,weiblich,36-45,städtisch,Teilzeit,1-2,41,keine Social Media Nutzung
Participant-110,,weiblich,46-55,städtisch,Teilzeit,1-2,44,Twitter
Participant-112,Flexibel,männlich,36-45,städtisch,Vollzeit,1-2,45277 ,keine Social Media Nutzung
Participant-113,"alles andere ist im ländlichen raum sinnlos, zur packstation muß ich 4 kilometer fahren",weiblich,56-65,ländlich,Vollzeit,1-2,78,keine Social Media Nutzung
Participant-115,Sendungen an mich sind oft >2kg; mit dem Rolli in Bus&Bahn zur Packstation und dort die Sendung nicht aus einem der oberen Fächer bekommen macht man nur ein einziges Mal; alles andere ist aber akzeptabel.,männlich,46-55,städtisch,,1-2,44,Facebook;andere Social Media
Participant-116,"Längere Wartezeit für nicht dringende Pakete in Kauf nehmen, ist für mich die einfachste Art für alle, der Umwelt zu helfen.",männlich,26-35,städtisch,Vollzeit,3-4,45,Facebook;Linkedin;andere Social Media
Participant-120,Es ist umweltfreundlicher als es momentan üblich ist und immer noch recht komfortabel und sicher.,weiblich,36-45,städtisch,Teilzeit,1-2,33,keine Social Media Nutzung
Participant-121,Co2 einsparen.pakete erst mal sammeln,weiblich,36-45,städtisch,Vollzeit,3-4,45,Facebook;Instagram;andere Social Media
Participant-122,"Vorallem da Arbeitsplätze erhalten bleiben und nicht durch Roboter ersetzt werden,-wobei es schon entscheidend für mich sein könnte wie dringlich meine Bestellung ist. Ich würde es mir aber angewöhnwn vorausschauende zu planen um diese Möglichkeit zu nutzen. ",weiblich,26-35,städtisch,Teilzeit,3-4,45,Facebook
Participant-127,,männlich,36-45,städtisch,Vollzeit,3-4,42,keine Social Media Nutzung
Participant-132,"Wenn der Zusteller gut ist, dann möchte ich eine Person haben.",männlich,56-65,städtisch,Vollzeit,1-2,D-20,Facebook;andere Social Media
