Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-15,,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook
Participant-35,,weiblich,36-45,städtisch,Vollzeit,1-2,46,Facebook;Instagram
Participant-47,Für mich gibt es keinen Favoriten.,männlich,66+,ländlich,,,58,andere Social Media
Participant-53,Weil es keine Arbeitsplätze gefährdet,weiblich,36-45,ländlich,Vollzeit,1-2,45665,andere Social Media
Participant-56,"1. - die Zustellung mit einem umweltfreundlichen Fahrzeug, selbst in abgelegene Zustellgebiete, ist immer machbar, im Gegensatz zu Robotern und Drohnen.
2. - längere Wartezeiten sind wir daher eh schon gewohnt.
3. - zu einer Packstation müsste der Zusteller und ich selbst fahren; das wären ja doppelter CO2-Ausstoß. (nächste Packstation ist rund 5km entfernt, mit erheblichen Steigungen)",männlich,56-65,ländlich,Vollzeit,1-2,42,Facebook
Participant-72,,weiblich,17-25,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-98,,männlich,66+,ländlich,,1-2,96,keine Social Media Nutzung
Participant-103,"am umweltschonensten und trotzdem praktisch, abholung Packstation ist für mich nicht möglich :-(",weiblich,56-65,städtisch,Teilzeit,1-2,40,keine Social Media Nutzung
Participant-115,Sendungen an mich sind oft >2kg; mit dem Rolli in Bus&Bahn zur Packstation und dort die Sendung nicht aus einem der oberen Fächer bekommen macht man nur ein einziges Mal; alles andere ist aber akzeptabel.,männlich,46-55,städtisch,,1-2,44,Facebook;andere Social Media
Participant-130,Am praktikabelsten und für mich als Kunden am komfortabelsten ,männlich,46-55,städtisch,Vollzeit,3-4,44,Facebook;Instagram
Participant-132,"Wenn der Zusteller gut ist, dann möchte ich eine Person haben.",männlich,56-65,städtisch,Vollzeit,1-2,D-20,Facebook;andere Social Media
Participant-144,Weil es die meisten Vorteile für mich hat,weiblich,26-35,städtisch,Vollzeit,3-4,45889,
Participant-145,,männlich,36-45,städtisch,Vollzeit,3-4,45,Twitter;andere Social Media
Participant-147,,weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-159,"Weil es ohnehin sinnvoll finde, wenn es nur einen Zusteller bräuchte. Dass ich dafür eine weitere Firma brauche, ist mir allerdings schleierhaft.  Einfach alles auf ein Unternehmen reduzieren ",männlich,26-35,ländlich,Vollzeit,3-4,74,Twitter
Participant-189,,männlich,36-45,städtisch,Vollzeit,3-4,45,Instagram;andere Social Media
Participant-195,,weiblich,56-65,ländlich,,3-4,,keine Social Media Nutzung
Participant-207,Ich habe doch Zeit,männlich,46-55,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-234,Zukunftsfähig,weiblich,36-45,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-236,da es in meinen Augen kein Nachteil mit sich bringt,weiblich,26-35,ländlich,Teilzeit,1-2,58,andere Social Media
Participant-242,Am sinnvollsten ,weiblich,46-55,ländlich,Teilzeit,1-2,51,Facebook;Instagram
Participant-260,"Gut, wenn man nicht mehrere Unternehmen hat auf die man warten muss. Es weren noch Jobs erhalten",weiblich,26-35,ländlich,Teilzeit,1-2,47,Facebook;Twitter;Instagram
Participant-273,"WEIl eine scheinbar starke Verkehrs- und Umweltentlastung möglich ist und Pakete dennoch und vor allem nur EIN mal an die Haustür kommen
",männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-309,,männlich,46-55,ländlich,,1-2,44,Facebook
Participant-320,"Faulheit soll nicht belohnt werden, Strahlenemission (Umweltverschmutzung) verhindern (Steuerung von Robotern und Drohnen)",männlich,56-65,städtisch,Teilzeit,1-2,20,keine Social Media Nutzung
Participant-321,,männlich,56-65,ländlich,Vollzeit,1-2,44,andere Social Media
Participant-339,,weiblich,17-25,städtisch,Vollzeit,1-2,46,Facebook;Instagram;andere Social Media
Participant-341,,weiblich,66+,städtisch,,1-2,44,keine Social Media Nutzung
Participant-350,"Da ich zu Hause beliefert werden möchte, ist das für mich die umweltfreundlichste Version",weiblich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-358,,männlich,17-25,städtisch,Teilzeit,4+,45,Instagram
